frame_no,status,elapsed_ms,path
0,normal,5261,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0000_unknown.png
1,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0001_unknown.png
2,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0002_unknown.png
3,normal,4,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0003_unknown.png
4,normal,9,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0004_unknown.png
5,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0005_unknown.png
6,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0006_unknown.png
7,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0007_unknown.png
8,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0008_unknown.png
9,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0009_unknown.png
10,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0010_unknown.png
11,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0011_unknown.png
12,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0012_unknown.png
13,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0013_unknown.png
14,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0014_unknown.png
15,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0015_unknown.png
16,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0016_unknown.png
17,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0017_unknown.png
18,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0018_unknown.png
19,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0019_unknown.png
20,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0020_unknown.png
21,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0021_unknown.png
22,normal,4,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0022_unknown.png
23,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0023_unknown.png
24,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0024_unknown.png
25,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0025_unknown.png
26,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0026_unknown.png
27,normal,7,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0027_unknown.png
28,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0028_unknown.png
29,normal,4,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0029_unknown.png
30,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0030_unknown.png
31,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0031_unknown.png
32,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0032_unknown.png
33,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0033_unknown.png
34,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0034_unknown.png
35,normal,4,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0035_unknown.png
36,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0036_unknown.png
37,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0037_unknown.png
38,normal,6,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0038_unknown.png
39,normal,5,D:\DS\VeleriaLab\V6\fronttop\train_processed\RoboArm\normal\fronttop_0039_unknown.png
